StimuliName,Vote,PresentationTime,DecisionTime
AxeGuy_ply_TMC1-rahtN_r1_rotate2.mp4,16,9.98,2.39
redandblack_ply_TMC1-rahtN_r5_rotate2.mp4,91,10.01,2.08
LubnaFriends_ply_TMC1-rahtN_r2_rotate2.mp4,22,10.01,2.36
Rafa2_ply_TMC1-rahtN_r4_rotate2.mp4,65,10.01,1.66
longdress_ply_TMC1-rahtN_r3_rotate2.mp4,41,10.00,2.34
Matis_ply_TMC1-rahtN_r6_rotate2.mp4,80,10.01,2.12
AxeGuy_ply_TMC2-allIntraN_r4_rotate2.mp4,82,10.01,1.45
Matis_ply_TMC2-allIntraN_r4_rotate2.mp4,85,10.00,2.03
Rafa2_ply_TMC1-rahtN_r3_rotate2.mp4,42,10.00,2.50
Matis_ply_TMC1-rahtN_r4_rotate2.mp4,72,10.01,1.43
LubnaFriends_ply_orig_rotate2.mp4,63,10.04,1.30
loot_ply_orig_rotate2.mp4,87,10.00,1.60
AxeGuy_obj_Draco-JPEG_lev5_rotate2.mp4,82,10.01,2.40
soldier_ply_orig_rotate2.mp4,88,10.01,1.38
Matis_ply_TMC2-randomAcN_r5_rotate2.mp4,73,10.03,1.38
soldier_ply_TMC1-rahtN_r1_rotate2.mp4,13,10.00,1.15
Rafa2_ply_TMC2-allIntraN_r5_rotate2.mp4,82,10.01,1.03
Matis_obj_Draco-JPEG_lev3_rotate2.mp4,60,10.01,1.08
LubnaFriends_ply_TMC2-allIntraN_r4_rotate2.mp4,65,10.01,3.40
Matis_obj_Draco-JPEG_lev2_rotate2.mp4,62,10.00,0.98
Rafa2_ply_TMC2-randomAcN_r4_rotate2.mp4,64,10.01,1.23
LubnaFriends_obj_Draco-JPEG_lev2_rotate2.mp4,28,10.01,1.47
Rafa2_obj_Draco-JPEG_lev2_rotate2.mp4,40,10.01,1.82
LubnaFriends_ply_TMC1-rahtN_r5_rotate2.mp4,58,10.00,1.20
AxeGuy_obj_Draco-JPEG_lev3_rotate2.mp4,47,10.01,1.22
LubnaFriends_ply_TMC2-randomAcN_r2_rotate2.mp4,46,10.00,1.02
Rafa2_ply_TMC1-rahtN_r4_rotate2.mp4,73,10.00,1.02
LubnaFriends_obj_Draco-JPEG_lev5_rotate2.mp4,75,10.01,1.02
Matis_ply_TMC2-randomAcN_r3_rotate2.mp4,80,10.01,1.35
LubnaFriends_ply_TMC1-rahtN_r6_rotate2.mp4,61,10.01,1.63
Rafa2_ply_TMC1-rahtN_r5_rotate2.mp4,74,10.00,1.38
Matis_ply_TMC1-rahtN_r1_rotate2.mp4,27,9.99,1.82
AxeGuy_ply_TMC2-allIntraN_r5_rotate2.mp4,45,10.01,1.10
Rafa2_obj_Draco-JPEG_lev5_rotate2.mp4,97,10.01,1.42
