StimuliName,Vote,PresentationTime,DecisionTime
Matis_ply_TMC1-rahtN_r1_rotate2.mp4,10,9.99,1.89
LubnaFriends_ply_TMC1-rahtN_r5_rotate2.mp4,50,10.00,1.01
redandblack_ply_TMC1-rahtN_r2_rotate2.mp4,29,10.00,1.66
loot_ply_TMC1-rahtN_r4_rotate2.mp4,60,10.01,1.86
AxeGuy_ply_TMC1-rahtN_r3_rotate2.mp4,47,10.01,2.14
soldier_ply_TMC1-rahtN_r6_rotate2.mp4,83,10.02,2.88
longdress_ply_TMC1-rahtN_r6_rotate2.mp4,92,10.01,2.82
Rafa2_ply_TMC1-rahtN_r1_rotate2.mp4,10,10.01,3.05
redandblack_ply_TMC2-allIntraN_r3_rotate2.mp4,63,10.01,2.02
longdress_ply_TMC1-rahtN_r4_rotate2.mp4,66,10.02,1.92
loot_ply_orig_rotate2.mp4,92,10.01,2.70
redandblack_ply_TMC1-rahtN_r4_rotate2.mp4,60,10.01,1.51
soldier_ply_TMC2-randomAcN_r4_rotate2.mp4,81,10.01,1.80
Matis_ply_TMC1-rahtN_r3_rotate2.mp4,41,10.01,1.55
soldier_ply_TMC2-allIntraN_r1_rotate2.mp4,41,10.01,1.65
longdress_ply_orig_rotate2.mp4,88,10.00,2.32
loot_ply_TMC1-rahtN_r5_rotate2.mp4,70,10.02,1.35
soldier_ply_TMC2-allIntraN_r5_rotate2.mp4,93,10.00,2.48
loot_ply_TMC2-allIntraN_r1_rotate2.mp4,50,10.00,1.13
redandblack_ply_TMC2-allIntraN_r4_rotate2.mp4,59,10.01,1.22
loot_ply_TMC1-rahtN_r2_rotate2.mp4,28,10.00,1.05
longdress_ply_TMC2-allIntraN_r4_rotate2.mp4,81,10.01,1.68
Matis_ply_TMC1-rahtN_r1_rotate2.mp4,10,10.01,1.60
longdress_ply_TMC1-rahtN_r2_rotate2.mp4,10,10.00,2.15
AxeGuy_obj_orig_rotate2.mp4,81,10.00,1.73
soldier_ply_TMC2-allIntraN_r3_rotate2.mp4,76,10.01,1.98
longdress_ply_TMC2-randomAcN_r1_rotate2.mp4,44,10.00,1.51
loot_ply_TMC2-randomAcN_r2_rotate2.mp4,45,10.01,1.07
Rafa2_ply_TMC1-rahtN_r5_rotate2.mp4,58,10.01,1.16
loot_ply_TMC2-randomAcN_r4_rotate2.mp4,74,10.01,1.37
LubnaFriends_ply_orig_rotate2.mp4,69,10.01,1.37
Matis_ply_TMC1-rahtN_r5_rotate2.mp4,50,10.01,1.53
soldier_ply_TMC1-rahtN_r3_rotate2.mp4,41,10.01,1.52
loot_ply_TMC1-rahtN_r3_rotate2.mp4,42,10.00,1.23
AxeGuy_ply_TMC1-rahtN_r1_rotate2.mp4,2,10.02,2.47
loot_ply_TMC1-rahtN_r4_rotate2.mp4,51,10.03,1.40
longdress_ply_TMC2-allIntraN_r3_rotate2.mp4,71,10.02,1.95
loot_ply_TMC2-allIntraN_r4_rotate2.mp4,69,10.02,1.82
longdress_ply_TMC2-allIntraN_r5_rotate2.mp4,68,10.02,2.68
loot_ply_TMC1-rahtN_r1_rotate2.mp4,3,10.01,2.40
Matis_obj_Draco-JPEG_lev5_rotate2.mp4,79,10.01,1.95
longdress_ply_TMC1-rahtN_r3_rotate2.mp4,50,10.01,1.93
loot_ply_TMC2-randomAcN_r1_rotate2.mp4,50,10.00,0.81
soldier_ply_TMC2-randomAcN_r5_rotate2.mp4,94,10.01,3.23
redandblack_ply_TMC2-allIntraN_r1_rotate2.mp4,50,10.00,1.73
Matis_obj_Draco-JPEG_lev2_rotate2.mp4,29,10.00,1.83
longdress_ply_TMC2-randomAcN_r4_rotate2.mp4,60,10.01,0.92
AxeGuy_ply_TMC1-rahtN_r5_rotate2.mp4,59,10.00,2.42
loot_ply_TMC2-allIntraN_r3_rotate2.mp4,70,10.00,1.60
longdress_ply_TMC2-randomAcN_r3_rotate2.mp4,79,10.00,1.88
redandblack_ply_TMC2-randomAcN_r1_rotate2.mp4,50,10.01,1.42
AxeGuy_ply_orig_rotate2.mp4,59,10.01,1.67
soldier_ply_TMC1-rahtN_r1_rotate2.mp4,3,10.01,4.07
longdress_ply_TMC2-randomAcN_r2_rotate2.mp4,50,10.01,1.68
LubnaFriends_ply_TMC1-rahtN_r5_rotate2.mp4,60,10.01,2.60
redandblack_ply_TMC2-allIntraN_r5_rotate2.mp4,58,10.00,2.03
soldier_ply_TMC2-randomAcN_r1_rotate2.mp4,44,10.00,3.18
longdress_ply_TMC1-rahtN_r1_rotate2.mp4,10,10.00,1.90
redandblack_ply_TMC2-allIntraN_r2_rotate2.mp4,61,10.02,1.45
soldier_ply_TMC1-rahtN_r6_rotate2.mp4,80,10.01,1.97
loot_ply_TMC2-randomAcN_r3_rotate2.mp4,61,10.01,1.97
soldier_ply_TMC1-rahtN_r2_rotate2.mp4,15,10.01,1.77
Matis_obj_orig_rotate2.mp4,66,10.01,1.50
soldier_ply_TMC2-randomAcN_r3_rotate2.mp4,74,10.01,1.78
LubnaFriends_ply_TMC1-rahtN_r1_rotate2.mp4,2,10.00,1.70
redandblack_ply_TMC2-randomAcN_r5_rotate2.mp4,72,10.02,3.23
soldier_ply_orig_rotate2.mp4,83,10.01,2.27
loot_ply_TMC2-allIntraN_r2_rotate2.mp4,50,10.03,1.98
redandblack_ply_TMC2-randomAcN_r3_rotate2.mp4,51,10.01,1.53
soldier_ply_TMC1-rahtN_r4_rotate2.mp4,55,10.01,1.63
longdress_ply_TMC2-allIntraN_r1_rotate2.mp4,50,10.01,1.20
loot_ply_TMC2-allIntraN_r5_rotate2.mp4,68,10.00,1.72
soldier_ply_TMC2-randomAcN_r2_rotate2.mp4,62,10.02,1.13
redandblack_ply_TMC1-rahtN_r6_rotate2.mp4,63,10.01,2.68
loot_ply_TMC1-rahtN_r6_rotate2.mp4,68,10.00,1.53
redandblack_ply_TMC1-rahtN_r5_rotate2.mp4,62,10.01,1.25
Rafa2_obj_Draco-JPEG_lev5_rotate2.mp4,81,10.01,2.53
redandblack_ply_TMC1-rahtN_r2_rotate2.mp4,27,10.01,5.30
LubnaFriends_obj_orig_rotate2.mp4,73,10.01,2.43
soldier_ply_TMC2-allIntraN_r2_rotate2.mp4,60,10.01,3.28
longdress_ply_TMC2-allIntraN_r2_rotate2.mp4,61,10.01,1.70
redandblack_ply_TMC1-rahtN_r3_rotate2.mp4,43,10.01,2.02
Rafa2_obj_Draco-JPEG_lev2_rotate2.mp4,29,10.02,1.67
AxeGuy_ply_TMC1-rahtN_r3_rotate2.mp4,39,10.01,1.48
