StimuliName,Vote,PresentationTime,DecisionTime
soldier_ply_TMC1-rahtN_r6_rotate2.mp4,76,9.99,3.80
AxeGuy_ply_TMC1-rahtN_r3_rotate2.mp4,25,10.01,1.28
loot_ply_TMC1-rahtN_r4_rotate2.mp4,43,10.01,5.65
redandblack_ply_TMC1-rahtN_r2_rotate2.mp4,6,9.99,1.58
LubnaFriends_ply_TMC1-rahtN_r5_rotate2.mp4,24,10.01,1.67
Matis_ply_TMC1-rahtN_r1_rotate2.mp4,3,10.00,1.40
soldier_ply_orig_rotate2.mp4,75,10.01,1.38
redandblack_ply_TMC2-allIntraN_r2_rotate2.mp4,15,10.01,1.75
Rafa2_ply_TMC1-rahtN_r3_rotate2.mp4,26,10.00,1.06
redandblack_ply_TMC1-rahtN_r2_rotate2.mp4,23,10.00,1.28
loot_ply_TMC2-allIntraN_r1_rotate2.mp4,22,10.01,2.13
longdress_ply_TMC1-rahtN_r3_rotate2.mp4,23,10.01,6.55
loot_ply_TMC2-allIntraN_r4_rotate2.mp4,45,10.01,1.83
longdress_ply_TMC2-allIntraN_r1_rotate2.mp4,24,10.01,3.88
AxeGuy_ply_orig_rotate2.mp4,41,10.00,4.42
longdress_ply_TMC2-randomAcN_r3_rotate2.mp4,42,10.01,3.28
soldier_ply_TMC1-rahtN_r4_rotate2.mp4,58,10.01,2.22
loot_ply_TMC1-rahtN_r3_rotate2.mp4,44,10.02,1.17
redandblack_ply_orig_rotate2.mp4,25,10.01,1.30
loot_ply_TMC2-allIntraN_r5_rotate2.mp4,44,10.02,9.12
redandblack_ply_TMC2-allIntraN_r3_rotate2.mp4,59,10.00,2.80
soldier_ply_TMC2-randomAcN_r4_rotate2.mp4,44,10.00,2.25
LubnaFriends_obj_Draco-JPEG_lev5_rotate2.mp4,26,10.00,1.17
soldier_ply_TMC1-rahtN_r6_rotate2.mp4,43,10.02,1.30
Matis_ply_TMC1-rahtN_r3_rotate2.mp4,4,9.99,1.67
soldier_ply_TMC2-allIntraN_r2_rotate2.mp4,25,10.01,1.65
AxeGuy_ply_TMC1-rahtN_r1_rotate2.mp4,5,10.01,1.75
soldier_ply_TMC2-randomAcN_r5_rotate2.mp4,74,10.01,1.33
loot_ply_TMC2-randomAcN_r5_rotate2.mp4,43,10.01,1.53
Rafa2_ply_TMC1-rahtN_r5_rotate2.mp4,44,10.01,2.85
Matis_ply_TMC1-rahtN_r1_rotate2.mp4,4,10.00,1.50
redandblack_ply_TMC2-randomAcN_r3_rotate2.mp4,45,10.00,4.99
loot_ply_TMC2-randomAcN_r1_rotate2.mp4,44,10.00,0.77
redandblack_ply_TMC2-randomAcN_r5_rotate2.mp4,50,10.00,1.03
loot_ply_TMC2-randomAcN_r3_rotate2.mp4,43,10.01,2.07
longdress_ply_TMC1-rahtN_r5_rotate2.mp4,58,10.01,4.05
AxeGuy_obj_Draco-JPEG_lev5_rotate2.mp4,65,10.00,1.58
loot_ply_TMC2-randomAcN_r2_rotate2.mp4,56,10.01,2.47
Rafa2_ply_orig_rotate2.mp4,41,10.01,1.50
LubnaFriends_ply_TMC1-rahtN_r5_rotate2.mp4,24,10.00,1.32
longdress_ply_TMC2-allIntraN_r3_rotate2.mp4,61,10.00,2.97
soldier_ply_TMC2-randomAcN_r1_rotate2.mp4,42,10.01,1.63
loot_ply_TMC2-allIntraN_r3_rotate2.mp4,54,10.01,0.88
longdress_ply_TMC2-allIntraN_r2_rotate2.mp4,62,10.00,2.50
loot_ply_TMC1-rahtN_r4_rotate2.mp4,42,10.00,3.22
redandblack_ply_TMC2-allIntraN_r1_rotate2.mp4,23,10.02,1.08
